,name,rating,industry,headquarter,other_locations,highly_rated_for,critically_rated_for,reviews,salaries,interviews,jobs,benefits
4809,Ajay Industrial Corporation,3.6,Industrial Machinery,New Delhi,39,"Promotions / Appraisal, Company Culture, Work Satisfaction",,221,782,11,3,14
4810,National Small Industries Corporation,3.9,Government,New Delhi,35,"Company Culture, Work Life Balance, Work Satisfaction","Promotions / Appraisal, Salary & Benefits",221,553,15,--,12
4811,Spectrum Consultants,2.5,Recruitment,Pune,13,"Promotions / Appraisal, Company Culture, Skill Development / Learning",,221,943,27,10,13
4812,KPC Projects,4.0,Engineering & Construction,Hyderabad / Secunderabad,28,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,222,787,21,13,16
4813,State Street Global Advisors,3.7,Bangalore / Bengaluru +5 other locations,,0,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",221,2.2k,8,--,34
4814,B4S Solutions,4.1,Law Enforcement & Security,Pune,48,"Work Life Balance, Company Culture, Work Satisfaction",,221,646,11,11,25
4815,AT&S,3.8,Semiconductors,Mysuru / Mysore,29,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning",222,1.2k,10,18,10
4816,Prompt Personnel,3.9,Recruitment,Mumbai,32,Company Culture,Promotions / Appraisal,221,747,11,--,12
4817,Petrofac Engineering India,4.5,Petrochemicals,Mumbai,12,"Salary & Benefits, Work Satisfaction, Company Culture",Job Security,221,1k,11,--,18
4818,Arrise Bpo Solutions,3.5,Mumbai +54 other locations,,0,"Promotions / Appraisal, Job Security, Company Culture",,221,634,7,2,3
4819,Successive Technologies,3.9,IT Services & Consulting,Noida,5,"Work Life Balance, Company Culture, Skill Development / Learning",,221,1.9k,27,8,11
4820,Flexituff Ventures International,3.4,Packaging,Indore,16,"Promotions / Appraisal, Salary & Benefits, Company Culture",,220,810,7,--,28
4821,Narmada Bio Chem,4.8,Agro Chemicals,Ahmedabad,13,"Company Culture, Work Life Balance, Work Satisfaction",,220,256,6,5,57
4822,Xplore-Tech Services,3.2,BPO,Kolkata,13,"Promotions / Appraisal, Job Security, Salary & Benefits",,220,791,20,--,25
4823,Fusion,3.2,IT Services & Consulting,Kolkata,32,"Promotions / Appraisal, Job Security, Salary & Benefits",,221,863,17,1,11
4824,Informatica Business Solutions,3.8,Software Product,Bangalore / Bengaluru,3,"Work Life Balance, Company Culture, Salary & Benefits","Job Security, Promotions / Appraisal",220,1.9k,40,2,20
4825,bebo Technologies,3.4,IT Services & Consulting,Chandigarh,7,"Salary & Benefits, Job Security, Promotions / Appraisal",,220,1.3k,28,8,17
4826,APM Terminals,4.4,Ports & Shipping,Mumbai,25,"Company Culture, Work Life Balance, Work Satisfaction",,220,759,9,99,23
4827,Sami-Sabinsa Group,3.0,Pharma,Bangalore / Bengaluru,8,"Promotions / Appraisal, Company Culture, Salary & Benefits",,220,1.1k,18,17,20
4828,Tecnotree Convergence,3.1,IT Services & Consulting,Bangalore / Bengaluru,2,"Promotions / Appraisal, Salary & Benefits, Company Culture",,220,1.6k,16,--,18
4829,Emirates Airlines,3.9,Aviation,Mumbai,16,"Work Life Balance, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,220,858,25,3,30
4830,Advantum Health,3.0,Healthcare,Hyderabad / Secunderabad,4,"Job Security, Promotions / Appraisal, Skill Development / Learning",,220,766,14,4,24
4831,Med Manor Organics,3.6,Pharma,Hyderabad / Secunderabad,42,"Job Security, Promotions / Appraisal, Salary & Benefits",,220,662,16,5,18
4832,Umedica Laboratories,3.6,Pharma,Vapi,11,"Promotions / Appraisal, Salary & Benefits, Company Culture",,220,1.1k,13,8,11
4833,Hyva,3.8,Urban Transport,Pune,14,Work Life Balance,Promotions / Appraisal,220,984,19,12,24
4834,JPM Group,3.9,Industrial Machinery,Gurgaon / Gurugram,22,"Work Life Balance, Work Satisfaction, Job Security",Promotions / Appraisal,220,1.1k,10,--,11
4835,NKC Projects,4.0,Engineering & Construction,Gurgaon / Gurugram,26,"Work Life Balance, Work Satisfaction",Promotions / Appraisal,220,976,12,--,9
4836,Sugam Parivahan,4.3,Logistics,Noida,43,"Company Culture, Work Life Balance, Job Security",,220,684,20,5,12
4837,Elevate Services,3.1,Software Product,Gurgaon / Gurugram,6,"Promotions / Appraisal, Job Security, Work Satisfaction",,220,1.1k,20,--,11
4838,CGM ARIA Health Services,3.8,Noida +5 other locations,,0,Work Life Balance,Promotions / Appraisal,220,442,23,6,1
4839,Olympus,3.8,Healthcare,Gurgaon / Gurugram,19,"Job Security, Work Life Balance","Promotions / Appraisal, Skill Development / Learning",220,982,9,--,23
4840,Z1 Tech,4.2,Marketing & Advertising,Gurgaon / Gurugram,3,"Company Culture, Work Life Balance, Skill Development / Learning",,220,372,18,21,1
4841,Innoval Digital Solutions,4.7,Software Product,Thiruvananthapuram,6,"Work Life Balance, Job Security, Company Culture",,220,366,9,1,53
4842,Radius Global Solutions,2.8,BPO,Mumbai,6,"Promotions / Appraisal, Skill Development / Learning, Company Culture",,220,943,13,--,14
4843,D'Decor Home Fabrics,4.1,Fashion & Textile,Mumbai,18,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,220,1.3k,18,3,13
4844,Pure & Cure Healthcare,4.0,Pharma,Haridwar,11,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,220,636,9,--,13
4845,Parason Machinery,3.4,Industrial Machinery,Aurangabad,9,"Job Security, Promotions / Appraisal, Company Culture",,220,1.1k,30,3,18
4846,Mehin,3.9,Software Product,Mumbai,68,"Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Job Security",220,555,9,--,10
4847,Jitm Skills,3.3,Education & Training,New Delhi,50,"Promotions / Appraisal, Job Security, Company Culture",,220,626,17,1,15
4848,Teerthanker Mahaveer University,3.3,Education & Training,Moradabad,13,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,220,653,10,31,9
4849,The Indian Express,4.0,Printing & Publishing,Noida,27,"Work Life Balance, Job Security","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",220,1.2k,8,--,19
4850,TRF,3.7,Auto Components,Jamshedpur,19,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,219,864,11,--,23
4851,INFOSEC VENTURES,3.2,Gurgaon / Gurugram +3 other locations,,0,"Promotions / Appraisal, Company Culture, Work Life Balance",,219,403,22,6,11
4852,WEG,4.1,Electronics Manufacturing,Hosur,8,"Skill Development / Learning, Work Satisfaction, Company Culture",Promotions / Appraisal,220,1.1k,18,--,27
4853,Preethi Kitchen Appliances,4.0,Electronics Manufacturing,Chennai,47,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal,219,664,8,--,21
4854,Coffee Day,3.0,Hospitality,Bangalore / Bengaluru,33,"Promotions / Appraisal, Company Culture, Work Satisfaction",,219,1k,22,--,27
4855,La-Gajjar Machineries,4.2,Electronics Manufacturing,Ahmedabad,31,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,219,678,8,--,25
4856,Verifone,3.2,FinTech,Bangalore / Bengaluru,6,"Promotions / Appraisal, Job Security, Skill Development / Learning",,219,1.6k,26,8,19
4857,Agiliad,3.3,Engineering & Construction,Pune,5,"Promotions / Appraisal, Salary & Benefits, Job Security",,219,1.6k,33,38,12
4858,Gold's Gym,4.0,Fitness & Wellness,Mumbai,49,"Company Culture, Work Life Balance, Skill Development / Learning",Job Security,219,623,14,--,20
4859,Niit Foundation,3.9,Education & Training,New Delhi,45,"Company Culture, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Job Security",219,638,13,8,21
4860,La-Gajjar Machineries,4.2,Electronics Manufacturing,Ahmedabad,31,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,219,678,8,--,25
4861,Agiliad,3.3,Engineering & Construction,Pune,5,"Promotions / Appraisal, Salary & Benefits, Job Security",,219,1.6k,33,38,12
4862,The Indian Express,4.0,Printing & Publishing,Noida,27,"Work Life Balance, Job Security","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",220,1.2k,8,--,19
4863,TRF,3.7,Auto Components,Jamshedpur,19,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,219,864,11,--,23
4864,Marine Electricals,3.7,Industrial Automation,Mumbai,22,"Promotions / Appraisal, Salary & Benefits, Company Culture",,219,1.2k,25,7,13
4865,Niit Foundation,3.9,Education & Training,New Delhi,45,"Company Culture, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Job Security",219,638,13,8,21
4866,Latinem,3.8,Real Estate,Hyderabad / Secunderabad,3,"Work Life Balance, Salary & Benefits, Job Security",Promotions / Appraisal,221,390,43,13,1
4867,Veltris,3.7,IT Services & Consulting,Hyderabad / Secunderabad,6,Work Life Balance,"Job Security, Promotions / Appraisal",220,1.1k,22,34,10
4868,Brij Gopal Construction Company,3.8,Engineering & Construction,New Delhi,34,Promotions / Appraisal,,219,746,17,2,10
4869,Gem Engserv,4.0,Engineering & Construction,Mumbai,21,"Work Life Balance, Salary & Benefits, Company Culture",,219,860,28,--,20
4870,Bank Muscat,4.1,Banking,Mumbai,74,"Job Security, Company Culture, Work Satisfaction",,219,1.8k,24,1,15
4871,eMDs,3.3,IT Services & Consulting,Noida,6,"Promotions / Appraisal, Company Culture, Work Life Balance",,219,874,16,--,20
4872,Ritz-Carlton,4.1,Hospitality,Bangalore / Bengaluru,16,"Company Culture, Job Security, Skill Development / Learning",,219,550,10,--,26
4873,AGILE AIRPORT SERVICES,3.7,Aviation,New Delhi,34,"Promotions / Appraisal, Work Satisfaction",,219,416,14,--,11
4874,Outpace Consulting Services,4.6,Lucknow +16 other locations,,0,"Company Culture, Work Life Balance, Work Satisfaction",,219,121,48,--,8
4875,Nielsen Sports,3.8,Sports & Recreation,Bangalore / Bengaluru,7,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",219,886,7,26,19
4876,BeatO,3.3,Fitness & Wellness,New Delhi,7,"Job Security, Promotions / Appraisal, Company Culture",,219,592,19,5,31
4877,Resonance Eduventures,3.8,EdTech,Kota,40,"Work Life Balance, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits, Job Security",218,703,7,--,16
4878,IPCS GLOBAL SOLUTIONS PVT LTD,4.5,Education & Training,Kochi,27,"Skill Development / Learning, Work Life Balance, Work Satisfaction",,218,294,59,11,3
4879,ICPA Health Products,3.4,Healthcare,Mumbai,35,"Promotions / Appraisal, Salary & Benefits, Company Culture",,218,655,13,30,18
4880,Geetanjali Medical College and Hospital,4.2,Healthcare,Udaipur,22,"Work Life Balance, Company Culture, Work Satisfaction",,218,695,9,--,15
4881,Promea Therapeutics,4.2,Medical Equipment,Hyderabad / Secunderabad,7,"Work Life Balance, Work Satisfaction, Job Security",,218,470,20,24,8
4882,Steelman Telecom,3.9,Kolkata +48 other locations,,0,"Promotions / Appraisal, Job Security",,218,647,8,--,11
4883,ICPA Health Products,3.4,Healthcare,Mumbai,35,"Promotions / Appraisal, Salary & Benefits, Company Culture",,218,655,13,30,18
4884,IPCS GLOBAL SOLUTIONS PVT LTD,4.5,Education & Training,Kochi,27,"Skill Development / Learning, Work Life Balance, Work Satisfaction",,218,294,59,11,3
4885,Greenway Health,2.9,IT Services & Consulting,Bangalore / Bengaluru,4,"Job Security, Promotions / Appraisal, Skill Development / Learning",,219,1.2k,28,5,7
4886,Kobelco Construction Equipment India,4.2,Industrial Machinery,Chennai,34,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,218,946,20,--,22
4887,Della Adventure Resort,3.7,Hospitality,Pune,17,"Salary & Benefits, Job Security, Company Culture",,218,736,15,5,22
4888,Coastal Marine Construction & Engineering,4.2,Engineering & Construction,Mumbai,24,"Work Life Balance, Job Security, Work Satisfaction",,218,779,21,16,15
4889,WPIL,3.5,Building Material,Kolkata,30,"Job Security, Salary & Benefits","Skill Development / Learning, Company Culture, Work Satisfaction",218,790,18,2,12
4890,Purnartha Investment Advisors,4.1,Financial Services,Pune,15,"Work Life Balance, Company Culture, Work Satisfaction",,218,720,15,4,9
4891,Hinduja Group,3.7,Automobile,Chennai,56,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",218,1.6k,24,--,30
4892,Schott Poonawalla,3.5,Packaging,Vadodara,13,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",,218,1.1k,8,3,3
4893,HAL Offshore,4.1,Oil & Gas,Mumbai,28,"Work Life Balance, Job Security, Work Satisfaction",Promotions / Appraisal,218,867,10,--,13
4894,Flyhomes,4.3,Internet,Noida,9,"Company Culture, Salary & Benefits, Work Life Balance",,217,352,2,2,105
4895,OneCard,3.4,FinTech,Pune,11,"Promotions / Appraisal, Work Satisfaction, Company Culture",,217,1.1k,24,--,3
4896,LinkedIn,4.1,Internet,Bangalore / Bengaluru,8,"Work Life Balance, Salary & Benefits, Company Culture","Job Security, Promotions / Appraisal",217,2.1k,72,--,16
4897,NIELIT,4.1,Education & Training,New Delhi,50,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,217,647,17,--,15
4898,iD Fresh Food,4.3,FMCG,Bangalore / Bengaluru,32,"Company Culture, Job Security, Skill Development / Learning",,217,627,21,--,10
4899,Prithvi Innerwears Private Limited,4.8,Fashion & Textile,Tiruppur,23,"Company Culture, Work Life Balance, Job Security",,217,59,37,--,1
4900,Galaxy Weblinks,3.8,IT Services & Consulting,Indore,9,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",217,872,16,9,81
4901,Ensure Support Services,4.3,IT Services & Consulting,Chennai,46,"Company Culture, Skill Development / Learning, Work Life Balance",,217,673,5,4,25
4902,Albert David,3.5,Pharma,Kolkata,39,"Promotions / Appraisal, Company Culture, Skill Development / Learning",,217,574,18,--,6
4903,EFKON INDIA,3.7,IT Services & Consulting,Gurgaon / Gurugram,23,Salary & Benefits,"Company Culture, Work Satisfaction, Promotions / Appraisal",217,837,12,--,14
4904,Nova IVI Fertility,3.7,Healthcare,Bangalore / Bengaluru,43,"Promotions / Appraisal, Company Culture, Salary & Benefits",,217,638,17,--,15
4905,Linc,3.7,FMCG,Kolkata,31,"Promotions / Appraisal, Company Culture, Job Security",,217,886,14,--,9
4906,Faiveley Transport,4.0,Railways,Hosur,24,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,217,794,13,3,32
4907,Beumer Group,3.9,Industrial Machinery,Gurgaon / Gurugram,20,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",217,896,18,10,12
4908,Scc Infrastructure,3.7,Engineering & Construction,Ahmedabad,34,"Promotions / Appraisal, Job Security, Company Culture",,217,634,18,1,8
4909,Safran Engineering Services India,3.1,Aviation,Bangalore / Bengaluru,7,"Promotions / Appraisal, Salary & Benefits, Company Culture",,217,1.5k,29,31,15
4910,Himedia Laboratories,3.2,Biotechnology,Mumbai,16,"Promotions / Appraisal, Company Culture, Work Satisfaction",,217,1.1k,13,--,10
4911,Eversana,3.2,Pharma,Pune,11,"Promotions / Appraisal, Company Culture, Skill Development / Learning",,217,1.5k,27,12,14
4912,Neolite Zkw Lightings,3.9,Auto Components,Bahadurgarh,10,"Work Life Balance, Job Security, Skill Development / Learning",,217,866,18,--,17
4913,Man Industries,3.6,Building Material,Mumbai,15,Job Security,"Promotions / Appraisal, Company Culture",217,1k,13,4,17
4914,Shivam Infocom,4.3,Telecom,New Delhi,29,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,217,572,3,--,15
4915,Precision Group,3.5,Industrial Machinery,Chennai,42,"Promotions / Appraisal, Salary & Benefits, Company Culture",,217,1.5k,11,--,3
4916,Virohan,4.0,EdTech,Gurgaon / Gurugram,15,"Company Culture, Work Life Balance, Work Satisfaction",,217,595,31,14,3
4917,Renata Precision Components,3.6,Industrial Machinery,Pune,10,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",,217,1.1k,14,12,14
4918,Games24x7,3.7,Gaming,Bangalore / Bengaluru,4,"Salary & Benefits, Company Culture","Job Security, Promotions / Appraisal",216,1.7k,25,10,13
4919,Dr Mohan's Diabetes Specialities Centre,3.6,Healthcare,Chennai,36,Work Life Balance,Promotions / Appraisal,216,651,18,5,14
4920,Kalyani Maxion Wheels,4.0,Auto Components,Pune,5,Job Security,Promotions / Appraisal,216,973,5,--,22
4921,KFA Consultant,1.3,Dubai +2 other locations,,0,"Company Culture, Work Life Balance, Work Satisfaction",,216,5,3,--,--
4922,MidasCare Pharmaceuticals,3.6,Pharma,Mumbai,31,"Promotions / Appraisal, Company Culture, Work Satisfaction",,217,655,13,--,13
4923,Droom,3.3,Internet,Gurgaon / Gurugram,1,"Job Security, Promotions / Appraisal, Skill Development / Learning",,217,1.1k,21,16,33
4924,Weikfield Foods,3.5,Food Processing,Pune,46,"Promotions / Appraisal, Work Satisfaction, Job Security",,217,771,9,14,26
4925,Software AG,4.2,Software Product,Bangalore / Bengaluru,15,"Company Culture, Work Life Balance, Work Satisfaction",,216,1.6k,25,--,19
4926,Merkle,3.4,Mumbai +12 other locations,,0,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,216,2.1k,28,--,1
4927,Blazeclan Technologies,3.6,IT Services & Consulting,Pune,8,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,216,1.7k,21,--,17
4928,Ga Digital Web Word,3.6,IT Services & Consulting,New Delhi,45,"Promotions / Appraisal, Job Security, Skill Development / Learning",,216,963,15,--,6
4929,Zifo RnD Solutions,3.7,IT Services & Consulting,Chennai,3,"Job Security, Company Culture",Promotions / Appraisal,216,1.2k,65,--,11
4930,Patton International,3.7,Iron & Steel,Kolkata,4,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",216,895,13,--,23
4931,Bharathi Cement,4.0,Building Material,Kadapa,34,"Work Life Balance, Work Satisfaction, Job Security",Promotions / Appraisal,216,698,4,1,16
4932,Pha India,3.9,Auto Components,Chennai,13,"Company Culture, Work Satisfaction, Job Security","Promotions / Appraisal, Salary & Benefits",216,761,6,--,24
4933,ONLEI Technologies,4.9,Mumbai +21 other locations,,0,"Work Life Balance, Skill Development / Learning, Company Culture",,216,19,23,2,2
4934,CPM International,3.8,Recruitment,New Delhi,50,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Job Security",216,435,18,5,19
4935,Riviera Infraprojects,4.2,Ahmedabad +14 other locations,,0,"Salary & Benefits, Company Culture, Work Life Balance",,216,625,10,3,6
4936,Changepond Technologies,2.9,IT Services & Consulting,Chennai,4,"Company Culture, Promotions / Appraisal, Work Satisfaction",,216,1.8k,30,3,14
4937,SLAP,3.9,Management Consulting,Anantapur,15,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",216,800,17,--,10
4938,Grass Roots Research & Creation,4.8,Analytics & KPO,New Delhi,14,"Company Culture, Work Life Balance, Skill Development / Learning",,216,128,2,6,127
4939,Pattern Technologies,4.4,Software Product,Pune,1,"Company Culture, Work Life Balance, Work Satisfaction",,216,408,64,44,6
4940,Grb Dairy Foods,3.7,Food Processing,Hosur,29,"Promotions / Appraisal, Skill Development / Learning, Company Culture",,216,925,11,--,9
4941,Tata Housing Development Company,4.1,Real Estate,Mumbai,24,"Work Life Balance, Salary & Benefits, Company Culture",,215,910,9,--,30
4942,Texas Instruments,3.9,Semiconductors,Bangalore / Bengaluru,9,"Salary & Benefits, Job Security",,215,2.1k,131,--,13
4943,United India Insurance Company,4.5,Insurance,Chennai,79,"Work Life Balance, Job Security, Company Culture",,215,570,10,--,26
4944,SMS Pharmaceuticals,3.3,Pharma,Hyderabad / Secunderabad,5,"Promotions / Appraisal, Company Culture, Work Satisfaction",,215,776,14,--,11
4945,Learning Links Foundation,4.1,Non-Profit,New Delhi,41,"Work Satisfaction, Company Culture, Work Life Balance",Promotions / Appraisal,215,760,13,7,18
4946,Shangri-la Hotels & Resorts,4.2,Hospitality,New Delhi,22,"Skill Development / Learning, Company Culture, Job Security",,215,523,5,--,38
4947,Prime Focus,3.8,Animation & VFX,Mumbai,11,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",215,629,1,--,32
4948,Valenta AI Private Limited,4.4,Emerging Technologies,Bangalore / Bengaluru,12,"Work Life Balance, Company Culture, Work Satisfaction",,215,597,29,31,15
4949,Impressico Business Solutions,4.4,IT Services & Consulting,Noida,9,"Company Culture, Work Life Balance, Job Security",,215,939,12,14,39
4950,Skechers,4.1,Retail,Mumbai,55,"Job Security, Company Culture, Work Life Balance",,216,754,13,--,20
4951,BPL Medical Technologies,3.6,Medical Equipment,Bangalore / Bengaluru,31,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",,215,899,13,10,19
4952,BluSmart,3.9,Urban Transport,Gurgaon / Gurugram,8,"Salary & Benefits, Work Life Balance, Skill Development / Learning",Job Security,215,881,20,--,1
4953,indiagold,4.3,FinTech,Gurgaon / Gurugram,18,"Salary & Benefits, Work Life Balance, Company Culture",,215,523,33,9,8
4954,Fernandez Hospital,4.4,Healthcare,Hyderabad / Secunderabad,1,"Company Culture, Work Life Balance, Job Security",,215,542,6,--,18
4955,CP Plus,3.9,Tirupati +30 other locations,,0,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal,215,617,16,--,9
4956,Augtech Nextwealth,3.8,Bhilai Nagar +3 other locations,,0,"Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal, Job Security",215,383,38,8,5
4957,Shri Mahavir Ferro Alloys,3.4,Iron & Steel,Rourkela,7,"Promotions / Appraisal, Company Culture, Work Satisfaction",,216,699,16,--,5
4958,ION Group,2.9,Software Product,Noida,8,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",,215,1.5k,110,48,5
4959,Netaxis IT Solutions,3.8,IT Services & Consulting,Chennai,3,"Skill Development / Learning, Promotions / Appraisal, Company Culture",,215,283,19,2,107
4960,Megafine Pharma,4.0,Pharma,Nashik,10,"Company Culture, Work Life Balance, Work Satisfaction",,215,1.1k,6,--,18
4961,GLA University,3.8,Education & Training,Mathura,12,Work Life Balance,"Promotions / Appraisal, Company Culture, Work Satisfaction",216,788,16,18,16
4962,Matrix ComSec,3.6,Law Enforcement & Security,Vadodara,11,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",214,1.3k,20,27,24
4963,Ibis,4.4,Hospitality,Mumbai,25,"Company Culture, Work Life Balance, Job Security",,214,609,7,--,31
4964,GENWORKS Health,3.3,Healthcare,Bangalore / Bengaluru,39,"Promotions / Appraisal, Salary & Benefits, Job Security",,214,721,17,1,21
4965,Techahead Software,4.1,IT Services & Consulting,Noida,7,"Skill Development / Learning, Company Culture, Work Satisfaction",,214,786,38,21,9
4966,Balasore Alloys,3.3,Metals & Mining,Balasore,15,"Promotions / Appraisal, Job Security, Company Culture",,214,681,14,1,23
4967,Ananth Technologies,3.9,Electronics Manufacturing,Hyderabad / Secunderabad,11,"Job Security, Work Satisfaction","Promotions / Appraisal, Salary & Benefits",214,1.2k,14,6,23
4968,MINISO,3.8,Retail,New Delhi,44,"Promotions / Appraisal, Job Security, Salary & Benefits",,214,768,19,3,15
4969,King George's Medical University,4.1,Education & Training,Lucknow,13,"Skill Development / Learning, Work Life Balance, Work Satisfaction",,214,566,9,7,17
4970,Rajan Technocast,4.8,Industrial Machinery,Rajkot,18,"Work Life Balance, Work Satisfaction, Job Security",,214,166,10,1,8
4971,Decorpot,3.2,Architecture & Interior Design,Bangalore / Bengaluru,13,"Promotions / Appraisal, Work Satisfaction, Company Culture",,214,881,23,87,22
4972,Kwality Pharmaceuticals,3.8,Pharma,Amritsar,10,Company Culture,,214,838,21,1,10
4973,Airtel Africa,2.6,Telecom,Gurgaon / Gurugram,10,"Company Culture, Promotions / Appraisal, Work Satisfaction",,214,989,38,--,4
4974,La Renon Healthcare,4.2,Ahmedabad +47 other locations,,0,"Salary & Benefits, Company Culture, Work Life Balance",,214,618,14,4,17
4975,Zones Corporate Solutions,2.9,IT Services & Consulting,Bangalore / Bengaluru,7,"Promotions / Appraisal, Company Culture, Work Satisfaction",,214,1.1k,20,18,14
4976,Garden Silk Mills,3.6,Fashion & Textile,Surat,10,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,214,884,5,--,30
4977,Biostadt,4.2,Mumbai +56 other locations,,0,"Company Culture, Job Security, Work Life Balance",,214,555,11,--,18
4978,Uni Cards,3.8,FinTech,Bangalore / Bengaluru,8,"Salary & Benefits, Company Culture",Job Security,214,778,27,14,2
4979,Bioseed,4.1,Hyderabad / Secunderabad +59 other locations,,0,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,214,417,13,--,--
4980,Lubi Industries Llp,4.1,Industrial Machinery,Ahmedabad,35,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,214,915,9,9,11
4981,AARGEE STAFFING SERVICES,3.7,Recruitment,Chennai,16,"Promotions / Appraisal, Job Security, Salary & Benefits",,214,648,6,--,5
4982,Stratosphere IT Services,3.3,Recruitment,Hyderabad / Secunderabad,18,"Job Security, Promotions / Appraisal, Skill Development / Learning",,214,1.3k,11,5,15
4983,Chakr Innovation,3.2,Industrial Machinery,Gurgaon / Gurugram,7,"Job Security, Promotions / Appraisal, Work Satisfaction",,214,849,35,21,1
4984,Tide - Business Management Platform,3.7,FinTech,Hyderabad / Secunderabad,12,"Work Life Balance, Salary & Benefits","Promotions / Appraisal, Job Security",215,1.2k,38,105,3
4985,Sterling Talent Solutions,3.7,Internet,Mumbai,3,"Job Security, Promotions / Appraisal, Skill Development / Learning",,213,720,11,--,35
4986,The Co-operative Bank,3.8,Banking,Bangalore / Bengaluru,104,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",213,735,6,--,23
4987,Aditya Birla Money,4.0,Chennai +43 other locations,,0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,213,730,22,1,13
4988,Sedin Technologies,4.4,IT Services & Consulting,Chennai,5,"Company Culture, Work Life Balance, Skill Development / Learning",,213,938,47,1,5
4989,Q3 Technologies,3.4,IT Services & Consulting,Gurgaon / Gurugram,10,"Promotions / Appraisal, Company Culture, Work Satisfaction",,213,1.6k,26,5,10
4990,Maruti Ispat And Pipes,3.6,Iron & Steel,Hyderabad / Secunderabad,9,Salary & Benefits,"Job Security, Promotions / Appraisal, Company Culture",213,461,16,2,4
4991,Nordex India,3.9,Internet,Chennai,15,Work Life Balance,Promotions / Appraisal,213,1.1k,13,--,9
4992,Jagsonpal Pharmaceuticals,3.5,Pharma,New Delhi,46,"Promotions / Appraisal, Salary & Benefits, Company Culture",,213,606,15,4,15
4993,Infosearch BPO Services,4.2,BPO,Chennai,5,"Job Security, Work Satisfaction, Skill Development / Learning",,213,474,12,8,8
4994,Cleartrip,3.5,Internet,Bangalore / Bengaluru,11,"Promotions / Appraisal, Job Security, Work Satisfaction",,213,1.2k,21,14,19
4995,Andhra Paper,3.7,Pulp & Paper,Rajahmundry,14,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",213,1k,20,1,7
4996,Sun Vacuum Formers,3.9,Auto Components,Gurgaon / Gurugram,9,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",213,764,18,--,25
4997,MKCL,3.6,Education & Training,Pune,27,"Job Security, Work Life Balance","Salary & Benefits, Promotions / Appraisal",212,995,16,--,20
4998,Furlenco,3.4,Internet,Bangalore / Bengaluru,15,"Job Security, Promotions / Appraisal, Work Satisfaction",,212,1.1k,22,7,22
4999,Mitsui O.S.K. Lines,4.0,Ports & Shipping,Mumbai,16,"Work Life Balance, Job Security, Salary & Benefits",Promotions / Appraisal,212,766,5,--,18
5000,Indo Rama Synthetics (i),3.6,Fashion & Textile,Nagpur,10,"Promotions / Appraisal, Salary & Benefits, Company Culture",,212,842,12,--,13
