,name,rating,industry,headquarter,other_locations,highly_rated_for,critically_rated_for,reviews,salaries,interviews,jobs,benefits
9484,Indogulf CropSciences,3.3,Agro Chemicals,New Delhi,16,"Promotions / Appraisal, Work Satisfaction, Company Culture",,111,476,3,2,5
9485,Visen Industries,3.6,Chemicals,Mumbai,12,"Promotions / Appraisal, Salary & Benefits, Company Culture",,111,485,3,4,10
9486,DiTech Process Solutions,3.4,Printing & Publishing,Mumbai,9,"Promotions / Appraisal, Company Culture, Work Life Balance",,111,326,12,1,17
9487,bluCognition,3.4,IT Services & Consulting,Pune,1,"Job Security, Promotions / Appraisal, Skill Development / Learning",,111,500,8,6,6
9488,Dormakaba India,3.7,Building Material,Chennai,23,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",111,553,2,5,15
9489,GoldenSource,3.4,IT Services & Consulting,Mumbai,6,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,111,908,13,4,12
9490,BramhaCorp,3.7,Real Estate,Pune,3,"Promotions / Appraisal, Work Satisfaction, Job Security",,111,562,12,4,7
9491,Vasu Healthcare,4.2,Healthcare,Vadodara,21,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,112,480,2,10,7
9492,Noida International University,3.4,Education & Training,Noida,7,"Promotions / Appraisal, Company Culture, Skill Development / Learning",,111,476,5,--,10
9493,DP Chocolates,4.1,Food Processing,Baddi,13,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,111,447,6,1,5
9494,Pennant Technologies,3.8,Software Product,Hyderabad / Secunderabad,4,"Salary & Benefits, Job Security",Work Life Balance,111,737,18,17,6
9495,Shiv Enterprises,3.9,Recruitment,New Delhi,43,"Work Satisfaction, Skill Development / Learning, Company Culture",,112,644,4,--,3
9496,Max Data Entry Services,4.0,BPO,Kolkata,13,"Salary & Benefits, Work Satisfaction, Job Security",,111,15,10,--,31
9497,Woxsen University,3.4,Hyderabad / Secunderabad +6 other locations,,0,"Job Security, Company Culture, Work Satisfaction",,111,324,22,--,1
9498,Belden,3.9,Industrial Machinery,Pune,8,Salary & Benefits,Promotions / Appraisal,111,747,8,1,13
9499,Ayushman Hospital & Health Services,3.8,Healthcare,New Delhi,12,"Promotions / Appraisal, Salary & Benefits",,111,484,4,2,4
9500,Dormakaba India,3.7,Building Material,Chennai,23,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",111,553,2,5,15
9501,BramhaCorp,3.7,Real Estate,Pune,3,"Promotions / Appraisal, Work Satisfaction, Job Security",,111,562,12,4,7
9502,Vasu Healthcare,4.2,Healthcare,Vadodara,21,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,112,480,2,10,7
9503,Outscale Partners,2.3,Gurgaon / Gurugram +4 other locations,,0,"Company Culture, Promotions / Appraisal, Work Satisfaction",,111,277,17,38,1
9504,Jeeva Organic,3.6,Pharma,Bhubaneswar,6,"Promotions / Appraisal, Job Security, Salary & Benefits",,111,270,15,3,7
9505,Adyar Ananda Bhavan Sweets,4.0,Food Processing,Chennai,15,"Job Security, Skill Development / Learning, Work Satisfaction",Promotions / Appraisal,111,434,7,7,13
9506,Centric Consulting,3.5,IT Services & Consulting,Gurgaon / Gurugram,3,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",,112,943,18,6,5
9507,Conceptia Software Technologies,3.8,Defence & Aerospace,Bangalore / Bengaluru,9,"Promotions / Appraisal, Job Security",,111,533,5,8,4
9508,NICE Actimize,3.5,IT Services & Consulting,Pune,2,"Work Satisfaction, Promotions / Appraisal, Skill Development / Learning",,112,625,20,--,10
9509,HGS TECHNOLOGIES,4.1,IT Services & Consulting,Bangalore / Bengaluru,16,"Job Security, Company Culture, Work Life Balance",,111,667,12,--,8
9510,MSN,3.7,Internet,Hyderabad / Secunderabad,11,Job Security,"Company Culture, Work Satisfaction, Work Life Balance",111,389,12,--,7
9511,Oriental Rubber Industries,3.2,Petrochemicals,Pune,6,"Promotions / Appraisal, Company Culture, Work Satisfaction",,111,657,11,4,11
9512,Paloma Turning,4.0,Bangalore / Bengaluru +6 other locations,,0,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,111,368,4,--,4
9513,Rollick Ice Cream,4.1,Kolkata +12 other locations,,0,"Skill Development / Learning, Company Culture, Work Satisfaction",,111,186,14,1,7
9514,Relevel,2.9,Bangalore / Bengaluru +8 other locations,,0,"Job Security, Work Satisfaction, Promotions / Appraisal",,111,492,15,--,6
9515,Lighthouse Learning,3.4,Mumbai +16 other locations,,0,"Promotions / Appraisal, Work Satisfaction, Job Security",,112,637,4,18,2
9516,Y Equipment Services Pvt Ltd,3.8,Building Material,Greater Noida,22,"Promotions / Appraisal, Work Satisfaction, Company Culture",,111,595,18,--,6
9517,Net Business Solutions,3.8,IT Services & Consulting,Mumbai,22,"Promotions / Appraisal, Job Security, Skill Development / Learning",,111,600,4,--,3
9518,Prose Technologies,4.1,Pune +28 other locations,,0,"Work Life Balance, Skill Development / Learning, Work Satisfaction",Promotions / Appraisal,112,520,5,2,--
9519,Sandberg Translation Partners,3.6,Chemicals,New Delhi,25,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,111,490,6,2,13
9520,Adani Energy Solutions,3.7,Power,Ahmedabad,41,"Promotions / Appraisal, Company Culture, Work Life Balance",,111,359,12,--,--
9521,Net Business Solutions,3.8,IT Services & Consulting,Mumbai,22,"Promotions / Appraisal, Job Security, Skill Development / Learning",,111,600,4,--,3
9522,AddWeb Solution,4.4,IT Services & Consulting,Ahmedabad,2,"Skill Development / Learning, Company Culture, Work Life Balance",,111,164,5,25,13
9523,Udaan Express,4.1,New Delhi +48 other locations,,0,"Skill Development / Learning, Salary & Benefits, Work Life Balance","Job Security, Promotions / Appraisal",110,209,7,--,7
9524,Meru Accounting,3.7,Ahmedabad +3 other locations,,0,"Promotions / Appraisal, Salary & Benefits",,110,192,14,--,1
9525,Nitin Spinners,4.4,Fashion & Textile,Bhilwara,7,"Work Life Balance, Job Security, Company Culture",,110,449,4,--,4
9526,Diagno Labs,4.2,Healthcare,Gurgaon / Gurugram,27,"Work Life Balance, Skill Development / Learning, Work Satisfaction",,110,311,2,--,12
9527,Aashman Foundation,3.7,New Delhi +16 other locations,,0,Work Life Balance,"Salary & Benefits, Job Security, Company Culture",110,148,30,--,6
9528,Central Electronics,3.8,Government,Ghaziabad,7,"Promotions / Appraisal, Skill Development / Learning, Job Security",,110,508,6,--,10
